"id";"CLIENT_NUMBER";"GROUP_NUMBER";"DEVICE_NUMBER";"SENSOR_NUMBER";"BATCH_SIZE";"LOOP_RATE";"REAL_INSERT_RATE";"POINT_STEP";"INGESTION_THROUGHPUT"
"1";"20";"20";"20";"100";"100";"10";"1";"5000";"344685.33"
"2";"20";"20";"20";"250";"100";"10";"1";"5000";"410559.16"
"3";"20";"20";"20";"500";"100";"10";"1";"5000";"452144.9"
"4";"20";"20";"20";"750";"100";"10";"1";"5000";"451036.91"
"5";"20";"20";"20";"1000";"100";"10";"1";"5000";"422493.05"
"6";"20";"20";"20";"1250";"100";"10";"1";"5000";"380592.92"
"7";"20";"20";"20";"1500";"100";"10";"1";"5000";"408277.63"
"8";"20";"20";"20";"1750";"100";"10";"1";"5000";"428568.32"
"9";"20";"20";"20";"2000";"100";"10";"1";"5000";"409986.94"
"10";"20";"20";"20";"2250";"100";"10";"1";"5000";"405430.17"
"11";"20";"20";"20";"2500";"100";"10";"1";"5000";"371808"
"12";"20";"20";"20";"2750";"100";"10";"1";"5000";"323097.84"
"13";"20";"20";"20";"3000";"100";"10";"1";"5000";"259029.61"
"14";"20";"20";"20";"3250";"100";"10";"1";"5000";"176673.72"
"15";"20";"20";"20";"3500";"100";"10";"1";"5000";"167930.17"
