"id";"CLIENT_NUMBER";"GROUP_NUMBER";"DEVICE_NUMBER";"SENSOR_NUMBER";"BATCH_SIZE";"LOOP_RATE";"REAL_INSERT_RATE";"POINT_STEP";"INGESTION_THROUGHPUT"
"1";"20";"20";"20";"100";"100";"10";"1";"5000";"108871.44"
"2";"20";"20";"20";"250";"100";"10";"1";"5000";"154983.63"
"3";"20";"20";"20";"500";"100";"10";"1";"5000";"162232.7"
"4";"20";"20";"20";"750";"100";"10";"1";"5000";"211815.28"
"5";"20";"20";"20";"1000";"100";"10";"1";"5000";"196090.81"
"6";"20";"20";"20";"1250";"100";"10";"1";"5000";"199637.13"
"7";"20";"20";"20";"1500";"100";"10";"1";"5000";"199979.59"
"8";"20";"20";"20";"1750";"100";"10";"1";"5000";"204392.83"
"9";"20";"20";"20";"2000";"100";"10";"1";"5000";"180236.2"
"10";"20";"20";"20";"2250";"100";"10";"1";"5000";"211859.72"
"11";"20";"20";"20";"2500";"100";"10";"1";"5000";"154839.49"
"12";"20";"20";"20";"2750";"100";"10";"1";"5000";"94635.36"
"13";"20";"20";"20";"3000";"100";"10";"1";"5000";"86866.24"
"14";"20";"20";"20";"3250";"100";"10";"1";"5000";"65542.13"
"15";"20";"20";"20";"3500";"100";"10";"1";"5000";"60377.38"
