"id";"CLIENT_NUMBER";"GROUP_NUMBER";"DEVICE_NUMBER";"SENSOR_NUMBER";"BATCH_SIZE";"LOOP_RATE";"REAL_INSERT_RATE";"POINT_STEP";"INGESTION_THROUGHPUT"
"1";"20";"20";"20";"100";"100";"10";"1";"5000";"348270.33"
"2";"20";"20";"20";"250";"100";"10";"1";"5000";"444070.92"
"3";"20";"20";"20";"500";"100";"10";"1";"5000";"464007.15"
"4";"20";"20";"20";"750";"100";"10";"1";"5000";"403981.89"
"5";"20";"20";"20";"1000";"100";"10";"1";"5000";"426378.22"
"6";"20";"20";"20";"1250";"100";"10";"1";"5000";"429220.89"
"7";"20";"20";"20";"1500";"100";"10";"1";"5000";"435601.03"
"8";"20";"20";"20";"1750";"100";"10";"1";"5000";"438438.56"
"9";"20";"20";"20";"2000";"100";"10";"1";"5000";"420540.4"
"10";"20";"20";"20";"2250";"100";"10";"1";"5000";"382270.95"
"11";"20";"20";"20";"2500";"100";"10";"1";"5000";"363609.15"
"12";"20";"20";"20";"2750";"100";"10";"1";"5000";"312837.39"
"13";"20";"20";"20";"3000";"100";"10";"1";"5000";"243875.68"
"14";"20";"20";"20";"3250";"100";"10";"1";"5000";"222789.65"
"15";"20";"20";"20";"3500";"100";"10";"1";"5000";"185035.09"
