"id";"CLIENT_NUMBER";"GROUP_NUMBER";"DEVICE_NUMBER";"SENSOR_NUMBER";"BATCH_SIZE";"LOOP_RATE";"REAL_INSERT_RATE";"POINT_STEP";"INGESTION_THROUGHPUT"
"9";"20";"20";"20";"500";"100";"10";"1";"5000";"458692.36"
"10";"20";"20";"20";"500";"150";"10";"1";"5000";"472887.36"
"11";"20";"20";"20";"500";"200";"10";"1";"5000";"288177.2"
"13";"20";"20";"20";"500";"250";"10";"1";"5000";"281505.47"
"14";"20";"20";"20";"500";"300";"10";"1";"5000";"248320.43"
"15";"20";"20";"20";"500";"300";"10";"1";"5000";"250635.63"
"16";"20";"20";"20";"500";"350";"10";"1";"5000";"255300.03"
"17";"20";"20";"20";"500";"350";"10";"1";"5000";"251779"
"24";"20";"20";"20";"500";"400";"10";"1";"5000";"295466.69"
"25";"20";"20";"20";"500";"450";"10";"1";"5000";"256902.06"
"18";"20";"20";"20";"500";"500";"10";"1";"5000";"246914.82"
"19";"20";"20";"20";"500";"500";"10";"1";"5000";"241423.65"
"27";"20";"20";"20";"500";"500";"10";"1";"5000";"375792.45"
"20";"20";"20";"20";"500";"550";"10";"1";"5000";"195964.45"
"21";"20";"20";"20";"500";"550";"10";"1";"5000";"194121.63"
"28";"20";"20";"20";"500";"550";"10";"1";"5000";"380964.2"
