"id";"project_id";"LOOP_RATE";"POINT_STEP";"QUERY_INTERVAL";"OPERATION";"Latency_AVG"
"5";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_26_27_785";"10";"5000";"1000";"AGG_VALUE_QUERY";"1079.65"
"13";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_26_41_544";"10";"5000";"50000";"AGG_VALUE_QUERY";"1097.23"
"21";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_26_55_341";"10";"5000";"100000";"AGG_VALUE_QUERY";"1120.86"
"29";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_27_09_684";"10";"5000";"150000";"AGG_VALUE_QUERY";"1114.59"
"37";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_27_23_933";"10";"5000";"200000";"AGG_VALUE_QUERY";"1158.58"
"45";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_27_38_263";"10";"5000";"250000";"AGG_VALUE_QUERY";"1185.35"
"53";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_27_52_662";"10";"5000";"300000";"AGG_VALUE_QUERY";"1248.82"
"61";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_28_07_712";"10";"5000";"350000";"AGG_VALUE_QUERY";"1215.45"
"69";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_28_22_618";"10";"5000";"400000";"AGG_VALUE_QUERY";"1216.89"
"77";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_28_37_582";"10";"5000";"450000";"AGG_VALUE_QUERY";"1230.71"
"85";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_28_52_611";"10";"5000";"500000";"AGG_VALUE_QUERY";"1224.08"
"93";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_29_07_966";"10";"5000";"550000";"AGG_VALUE_QUERY";"1304.68"
"101";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_29_23_380";"10";"5000";"600000";"AGG_VALUE_QUERY";"1301.18"
"109";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_29_38_870";"10";"5000";"650000";"AGG_VALUE_QUERY";"1295.37"
"117";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_29_54_581";"10";"5000";"700000";"AGG_VALUE_QUERY";"1304.53"
"125";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_30_10_604";"10";"5000";"750000";"AGG_VALUE_QUERY";"1320.8"
"133";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_30_26_442";"10";"5000";"800000";"AGG_VALUE_QUERY";"1335.62"
"141";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_30_42_793";"10";"5000";"850000";"AGG_VALUE_QUERY";"1394.41"
"149";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_30_59_723";"10";"5000";"900000";"AGG_VALUE_QUERY";"1404.42"
"157";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_31_19_480";"10";"5000";"950000";"AGG_VALUE_QUERY";"1551.8"
"165";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_31_44_057";"10";"5000";"1000000";"AGG_VALUE_QUERY";"1514.14"
"173";"TS_QUERY_INT_INC_TimescaleDB__2020_02_24_10_54_51_492";"10";"5000";"1050000";"AGG_VALUE_QUERY";"1561.32"
